ts_from,ts_to,deauth_count,probe_count,beacon_count,eviltwin_max_distinct_bssids,top_sender_deauth,top_sender_probe,top_sender_beacon,top_bssid_deauth_count,top_bssid_deauth_mac,deauth_reason_top,deauth_reason_distinct,top_channel,top_channel_beacon_count,top_channel_deauth_count
1608306178.4826,1608306179.4826,0,0,11,0,0,0,11,0,,,0,36,11,0
1608306179.4826,1608306180.4826,0,17,21,0,0,17,21,0,,,0,36,21,0
1608306180.4826,1608306181.4826,0,17,31,0,0,17,31,0,,,0,36,31,0
1608306181.4826,1608306182.4826,0,17,41,0,0,17,41,0,,,0,36,41,0
1608306182.4826,1608306183.4826,0,31,49,0,0,31,49,0,,,0,36,49,0
1608306183.4826,1608306184.4826,0,32,49,0,0,31,49,0,,,0,36,49,0
1608306184.4826,1608306185.4826,0,15,49,0,0,14,49,0,,,0,36,49,0
1608306185.4826,1608306186.4826,0,15,49,0,0,14,49,0,,,0,36,49,0
1608306186.4826,1608306187.4826,0,15,49,0,0,14,49,0,,,0,36,49,0
1608306187.4826,1608306188.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306188.4826,1608306189.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306189.4826,1608306190.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306190.4826,1608306191.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306191.4826,1608306192.4826,0,2,48,0,0,1,48,0,,,0,36,48,0
1608306192.4826,1608306193.4826,0,10,48,0,0,8,48,0,,,0,36,48,0
1608306193.4826,1608306194.4826,0,9,48,0,0,8,48,0,,,0,36,48,0
1608306194.4826,1608306195.4826,0,18,48,0,0,17,48,0,,,0,36,48,0
1608306195.4826,1608306196.4826,0,18,48,0,0,17,48,0,,,0,36,48,0
1608306196.4826,1608306197.4826,0,20,48,0,0,17,48,0,,,0,36,48,0
1608306197.4826,1608306198.4826,0,12,48,0,0,9,48,0,,,0,36,48,0
1608306198.4826,1608306199.4826,0,14,47,0,0,9,47,0,,,0,36,47,0
1608306199.4826,1608306200.4826,0,5,47,0,0,5,47,0,,,0,36,47,0
1608306200.4826,1608306201.4826,0,5,47,0,0,5,47,0,,,0,36,47,0
1608306201.4826,1608306202.4826,0,4,48,0,0,2,48,0,,,0,36,48,0
1608306202.4826,1608306203.4826,0,4,48,0,0,2,48,0,,,0,36,48,0
1608306203.4826,1608306204.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306204.4826,1608306205.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306205.4826,1608306206.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306206.4826,1608306207.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306207.4826,1608306208.4826,0,3,49,0,0,3,49,0,,,0,36,49,0
1608306208.4826,1608306209.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306209.4826,1608306210.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306210.4826,1608306211.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306211.4826,1608306212.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306212.4826,1608306213.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306213.4826,1608306214.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306214.4826,1608306215.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306215.4826,1608306216.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306216.4826,1608306217.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306217.4826,1608306218.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306218.4826,1608306219.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306219.4826,1608306220.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306220.4826,1608306221.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306221.4826,1608306222.4826,0,6,49,0,0,4,49,0,,,0,36,49,0
1608306222.4826,1608306223.4826,0,6,49,0,0,4,49,0,,,0,36,49,0
1608306223.4826,1608306224.4826,0,4,49,0,0,4,49,0,,,0,36,49,0
1608306224.4826,1608306225.4826,0,4,49,0,0,4,49,0,,,0,36,49,0
1608306225.4826,1608306226.4826,0,4,49,0,0,4,49,0,,,0,36,49,0
1608306226.4826,1608306227.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306227.4826,1608306228.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306228.4826,1608306229.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306229.4826,1608306230.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306230.4826,1608306231.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306231.4826,1608306232.4826,0,4,49,0,0,2,49,0,,,0,36,49,0
1608306232.4826,1608306233.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306233.4826,1608306234.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306234.4826,1608306235.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306235.4826,1608306236.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306236.4826,1608306237.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306237.4826,1608306238.4826,0,1,49,0,0,1,49,0,,,0,36,49,0
1608306238.4826,1608306239.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306239.4826,1608306240.4826,0,17,49,0,0,14,49,0,,,0,36,49,0
1608306240.4826,1608306241.4826,0,19,49,0,0,14,49,0,,,0,36,49,0
1608306241.4826,1608306242.4826,0,18,49,0,0,14,49,0,,,0,36,49,0
1608306242.4826,1608306243.4826,0,27,49,0,0,23,49,0,,,0,36,49,0
1608306243.4826,1608306244.4826,0,25,49,0,0,23,49,0,,,0,36,49,0
1608306244.4826,1608306245.4826,0,11,49,0,0,9,49,0,,,0,36,49,0
1608306245.4826,1608306246.4826,0,9,49,0,0,9,49,0,,,0,36,49,0
1608306246.4826,1608306247.4826,0,9,49,0,0,9,49,0,,,0,36,49,0
1608306247.4826,1608306248.4826,0,0,49,0,0,0,49,0,,,0,36,49,0
1608306248.4826,1608306249.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306249.4826,1608306250.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306250.4826,1608306251.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306251.4826,1608306252.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306252.4826,1608306253.4826,0,3,49,0,0,2,49,0,,,0,36,49,0
1608306253.4826,1608306254.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306254.4826,1608306255.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306255.4826,1608306256.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306256.4826,1608306257.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306257.4826,1608306258.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306258.4826,1608306259.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
1608306259.4826,1608306260.4826,0,2,49,0,0,2,49,0,,,0,36,49,0
